,language,raisedLarynxEjective,elevation
wint1259,Wintu,6,157
yana1271,Yana,4,25
yuca1254,Yucatec Maya,5,86
yuch1247,Yuchi,9,247
zulu1248,Zulu,4,537
zuni1245,Zuni,4,2210
0,Achumawi,0,1258
1,Adzera,0,207
2,Eastern Arrernte,0,720
3,Amele,0,161
4,Angaataha,0,1709
5,Aghem,0,1047
6,Aproumu Aizi,0,24
7,Hokkaido Ainu,0,216
8,Akan,0,166
9,Akawaio,0,970
10,Alabama,0,89
11,Alladian,0,14
12,Aleut,0,82
13,Alawa,0,147
14,Northern Tosk Albanian,0,88
15,Amahuaca,0,429
16,Yanesha',0,2474
17,Amo,0,784
18,Alamblak,0,77
19,Guerrero Amuzgo,0,378
20,Ngas,0,1130
21,Andoque,0,181
22,Antakarinya,0,178
23,Apinayé,0,229
24,Apucikwar,0,58
25,Arabela,0,182
26,Mapudungun,0,1538
27,Egyptian Arabic,0,6
28,Waorani,0,259
29,Awngi,0,2024
30,Abipon,0,65
31,North Azerbaijani,0,276
32,Bashkir,0,231
33,Bambara,0,386
34,Waimaha,0,167
35,Baatonum,0,379
36,Batak Toba,0,948
37,Northern Bobo Madaré,0,467
38,Central Bai,0,3046
39,Bardi,0,46
40,Kohumono,0,23
41,Indonesian Bajau,0,37
42,Tweed-Albert,0,51
43,Beja,0,348
44,Bengali,0,8
45,Beembe,0,358
46,Daloa Bété,0,234
47,Bissa,0,263
48,Bakairí,0,428
49,Muinane,0,177
50,Berom,0,1221
51,Bororo,0,180
52,Brao,0,581
53,Breton,0,143
54,Brahui,0,1328
55,Western Bru,0,161
56,Bodo-Mech,0,114
57,Burushaski,0,3309
58,Bulgarian,0,98
59,Burarra,0,36
60,Qaqet,0,941
61,Bribri,0,706
62,Nivaclé,0,209
63,Car Nicobarese,0,30
64,Galibi Carib,0,6
65,Cha'palaa,0,122
66,Nyahkur,0,556
67,Kakua,0,155
68,Min Dong Chinese,0,6
69,Chamorro,0,69
70,Quiotepec Chinantec,0,1441
71,Cherokee,0,1159
72,Chuvash,0,95
73,Western Cham,0,35
74,Chuave,0,2050
75,Chukchi,0,0
76,Mandarin Chinese,0,88
77,Haka Chin,0,896
78,Asháninka,0,497
79,Cofán,0,342
80,Wamey,0,79
81,Chuanqiandian Cluster Miao,0,1077
82,Island Carib,0,758
83,Tedim Chin,0,1359
84,Western Highland Chatino,0,1344
85,Cubeo,0,192
86,Cayubaba,0,141
87,Dangaleat,0,459
88,Dan,0,324
89,Dagbani,0,181
90,Dar Fur Daju,0,609
91,Nyishi-Hill Miri,0,996
92,Dyirbal,0,858
93,German,0,368
94,Dieri,0,19
95,Tipai,0,297
96,Northeastern Dinka,0,401
97,Lower Grand Valley Dani,0,2969
98,Northern Dong,0,512
99,Doyayo,0,309
100,Rukai,0,1689
101,Dagur,0,167
102,Toro So Dogon,0,279
103,Dhuwal,0,99
104,Jola-Fonyi,0,31
105,Efik,0,25
106,Ekari,0,1658
107,Modern Greek,0,190
108,Central Siberian Yupik,0,0
109,Ejagham,0,220
110,Basque,0,362
111,Even,0,0
112,Ewe,0,114
113,Ewondo,0,593
114,Fasu,0,217
115,Nobiin,0,277
116,Fijian,0,151
117,Finnish,0,66
118,Fe'fe',0,1444
119,French,0,124
120,Fulniô,0,391
121,Fur,0,874
122,Fwâi,0,126
123,Ga,0,94
124,Gadsup,0,1311
125,Garrwa,0,205
126,Gbaya-Bossangoa,0,476
127,Gbagyi,0,261
128,Central Gelao-Qau,0,1275
129,Nanai,0,34
130,Irish,0,88
131,Wayuu,0,37
132,Paraguayan Guaraní,0,184
133,Guahibo,0,88
134,Guambiano,0,1725
135,Aché,0,158
136,Kuku-Yalanji,0,236
137,Hakka Chinese,0,365
138,Hawaiian,0,2020
139,Hindi,0,416
140,Hixkaryána,0,341
141,Hopi,0,1713
142,Hungarian,0,110
143,San Mateo del Mar Huave,0,5
144,Iaai,0,21
145,Iban,0,121
146,Igbo,0,8
147,Ignaciano,0,159
148,Izon,0,5
149,Irarutu,0,65
150,Irántxe-Münkü,0,403
151,Isoko,0,16
152,Iu Mien,0,1299
153,Itbayat,0,97
154,Iwam,0,26
155,Yanyuwa,0,57
156,Javanese,0,112
157,Jebero,0,242
158,Tol,0,773
159,Shuar,0,1256
160,Japanese,0,127
161,Japrería,0,859
162,Southern Jinghpaw,0,147
163,Kalaallisut,0,0
164,Kashmiri,0,1623
165,Camsá,0,2387
166,Grass Koiari,0,767
167,Dera (Indonesia),0,332
168,Kazym-Berezover-Suryskarer Khanty,0,54
169,Kera,0,328
170,Ket,0,176
171,Kota (India),0,1456
172,Koya,0,111
173,Kaingang,0,662
174,Khasi,0,38
175,Lü,0,1101
176,Halh Mongolian,0,1305
177,Lusi,0,92
178,Central Khmer,0,26
179,Kharia,0,376
180,Kirghiz,0,3699
181,Southern Kiwai,0,37
182,Khmu,0,953
183,East Kewa,0,1942
184,Teke-Kukuya,0,530
185,Klao,0,66
186,Kwoma,0,31
187,Northern Kurdish,0,697
188,Dera (Nigeria),0,195
189,Central Kanuri,0,314
190,Maharashtrian Konkani,0,723
191,Korean,0,154
192,Kpan,0,139
193,Koho,0,871
194,Komi-Zyrian,0,125
195,Koryak,0,0
196,Kupsabiny,0,2719
197,Kurukh,0,284
198,S'gaw Karen,0,246
199,Kalkutung,0,435
200,Kunama,0,1058
201,Kunimaipa,0,1857
202,Border Kuna,0,460
203,Kwaio,0,564
204,Karok,0,676
205,Lakkia,0,767
206,Lelemi,0,519
207,Lugbara,0,1225
208,Lahu,0,1476
209,Lithuanian,0,54
210,Peve,0,328
211,Luiseno,0,742
212,Luo (Kenya and Tanzania),0,1467
213,Chiquihuitlán Mazatec,0,1897
214,Masai,0,1187
215,Maxakalí,0,294
216,Donga Mambila,0,781
217,Mbum,0,830
218,Maba (Chad),0,509
219,Mba,0,456
220,Mogholi,0,942
221,Eastern Mari,0,45
222,San Miguel El Grande Mixtec,0,2279
223,Tu,0,2746
224,Manchu,0,187
225,Mor (Bomberai Peninsula),0,27
226,Moro,0,745
227,Mullukmulluk,0,40
228,Mawng,0,28
229,Dadibi,0,1267
230,West Makian,0,392
231,Marghi Central,0,426
232,Maranao,0,969
233,Totontepec Mixe,0,1423
234,Murle,0,452
235,Murriny Patha,0,0
236,Kala Lagaw Ya,0,137
237,Burmese,0,711
238,Pirahã,0,75
239,Mumuye,0,543
240,Movima,0,146
241,Min Nan Chinese,0,35
242,Nama (Namibia),0,1170
243,Naasioi,0,1855
244,Naxi,0,3607
245,Northern Puebla Nahuatl,0,1496
246,Ndut,0,35
247,Eastern Pahari,0,3212
248,Kathmandu Valley Newari,0,288
249,Ngizim,0,360
250,Noone,0,1277
251,Niellim,0,358
252,Nganasan,0,0
253,Nimboran,0,61
254,Nivkh,0,365
255,Ao Naga,0,605
256,Norwegian Bokmål,0,20
257,Nara,0,788
258,Nung (Viet Nam),0,703
259,Wubuy,0,6
260,Ama (Sudan),0,697
261,Nyang'i,0,1369
262,Ocaina,0,114
263,Ogbia,0,21
264,Eastern Ojibwa,0,213
265,Tohono O'odham,0,640
266,Ormuri,0,2281
267,Pacoh,0,757
268,Pech,0,411
269,Páez,0,3472
270,Panare,0,52
271,Bouyei,0,774
272,Western Farsi,0,2174
273,Plateau Malagasy,0,1653
274,Pohnpeian,0,537
275,South Wa,0,1866
276,Central Pashto,0,1057
277,Paiwan,0,608
278,Pwo Northern Karen,0,1113
279,Resígaro,0,127
280,Romanian,0,348
281,Rotokas,0,283
282,Waima,0,9
283,Russian,0,185
284,Sango,0,503
285,Sakha,0,875
286,Sedang,0,1287
287,Seneca,0,427
288,Cebaara Senoufo,0,390
289,Selkup,0,71
290,Koyraboro Senni Songhai,0,261
291,Sentani,0,74
292,Ninam,0,575
293,Tachelhit,0,904
294,Shuswap,0,660
295,Sinhala,0,51
296,Epena,0,22
297,Southern Sierra Miwok,0,780
298,Sáliba,0,119
299,South Saami,0,141
300,Siona-Tetete,0,236
301,Sa'ban,0,1002
302,Somali,0,211
303,Spanish,0,1202
304,Selepet,0,759
305,Sirionó,0,182
306,Natügu,0,0
307,Suena,0,68
308,Savosavo,0,365
309,Sui,0,276
310,Eastern Tamang,0,1864
311,Atayal,0,1882
312,Aikanã,0,520
313,Gaam,0,898
314,Ticuna,0,150
315,Tulu,0,86
316,Telugu,0,440
317,Timne,0,48
318,Temein,0,842
319,Tetum,0,317
320,Tigak,0,44
321,Tagalog,0,93
322,Thai,0,3
323,Tahaggart Tamahaq,0,760
324,Tiwi,0,74
325,Tiruray,0,435
326,Tasomi-Tata,0,486
327,Tama (Chad),0,1045
328,Tamnim Citak,0,19
329,Tacana,0,207
330,Lenakel,0,219
331,Papantla Totonac,0,89
332,Tampulma,0,129
333,Acatepec Me'phaa,0,504
334,Trumai,0,284
335,Toaripi,0,7
336,Tonkawa,0,86
337,Lishán Didán,0,1635
338,Tsou,0,989
339,Purepecha,0,2340
340,Tera,0,363
341,Tunica,0,40
342,Turkish,0,1138
343,Tuvinian,0,613
344,Ngarinyin,0,511
345,Mundari,0,50
346,Northern Uzbek,0,52
347,Vanimo,0,197
348,Vietnamese,0,8
349,Mbabaram,0,341
350,Wapishana,0,130
351,Warao,0,26
352,Wahgi,0,2160
353,Wik-Mungkan,0,32
354,Wiyot,0,449
355,Wantoat,0,1967
356,Usan,0,724
357,Kamang,0,839
358,Wolof,0,53
359,Waris,0,640
360,Warray,0,29
361,Wu Chinese,0,205
362,Ngiyambaa,0,153
363,Kawaiisu,0,1560
364,Liberia Kpelle,0,285
365,Katcha-Kadugli-Miri,0,473
366,Yagua,0,97
367,Yaqui,0,788
368,Yucuna,0,164
369,Tarok,0,210
370,Yagaria,0,1810
371,Yidiñ,0,7
372,Northern Yukaghir,0,0
373,Yoruba,0,105
374,Yareba,0,223
375,Tundra Nenets,0,0
376,Yessan-Mayo,0,21
377,Yue Chinese,0,-3
378,Yulu,0,680
379,Yawa,0,852
380,Zande,0,638
381,Copainalá Zoque,0,526
