,language,raisedLarynxEjective,elevation
139,Seimat,0,0
140,Semelai,0,67
141,Serrano,0,731
142,Shabo,0,1683
143,Yawanawa,0,261
144,Makonde,0,55
145,Shona,0,1216
146,Bamun,0,960
147,Siar-Lak,0,556
148,Saraiki,0,121
149,Shawnee,0,313
150,Skou,0,36
151,Thavung,0,150
152,South Efate,0,236
153,Spokane,0,726
154,Satawalese,0,0
155,Ulwa,0,9
156,Hupdë,0,156
157,Chimalapa Zoque,0,263
158,Loxicha Zapotec,0,207
159,Yapese,0,37
160,Yurok,0,756
161,Yuracaré,0,209
162,Southern Yukaghir,0,0
163,Zhenkang Wa,0,1729
164,Wambon,0,79
165,Washo,0,1925
166,Wayana,0,182
167,Wogeo,0,239
168,Huarijio,0,1203
169,Vai,0,17
170,Ukrainian,0,1349
171,Phalura,0,2948
172,East Makian,0,308
173,Tok Pisin,0,197
174,Baruga,0,63
175,Tatuyo,0,219
176,Tagwana Senoufo,0,311
177,Mazanderani,0,1715
178,Pa'o Karen,0,955
179,Ternate,0,1633
180,Toba,0,139
181,Polish,0,126
182,Mandarin Chinese,0,88
183,Kalabari,0,6
184,Eastern Yiddish,0,187
185,Dutch,0,-3
186,Tamambo,0,157
187,Gayo,0,1067
188,Jamaican Creole English,0,457
189,Mambai,0,229
190,Aragonese,0,657
191,Tilquiapan Zapotec,0,1769
192,Ibibio,0,47
193,Tamil,0,106
194,Zoogocho Zapotec,0,2507
195,Baga Koga,0,17
196,South Nuaulu,0,120
197,Selaru,0,39
198,Tsuvadi,0,257
199,Hanga Hundi,0,54
200,Blang,0,1229
201,Tatana,0,13
202,Tibetan,0,5409
203,Che,0,999
204,Pagibete,0,484
205,Choctaw,0,137
206,Michif,0,534
207,Pilagá,0,119
208,Baniwa do Icana,0,152
209,Karitiâna,0,125
210,North Alaskan Inupiatun,0,0
211,San Juan Guelavía Zapotec,0,1612
212,West Coast Bajau,0,12
213,Ute-Southern Paiute,0,1842
214,Dupaninan Agta,0,759
215,Tonga (Tonga Islands),0,16
216,Juang,0,282
217,Adang,0,316
218,Ambele,0,429
219,Apurinã,0,138
220,Achinese,0,12
221,Antigua and Barbuda Creole English,0,24
222,Aklanon,0,140
223,Arhuaco,0,3650
225,Libyan Arabic,0,584
226,Batak Toba,0,948
227,Baoulé,0,9
228,Bondo,0,100
230,Siksika,0,1232
231,Biloxi,0,81
232,Belize Kriol English,0,33
233,Koasati,0,14
234,Comox,0,42
235,Sochiapam Chinantec,0,682
236,Dimli,0,1667
237,Yekhee,0,296
238,Northern Frisian,0,0
239,Gujari,0,862
240,Kotiria,0,143
241,Hungana-Saamba,0,355
242,Iloko,0,287
243,Kadiwéu,0,86
244,Kutep,0,220
245,Awa-Cuaiquer,0,453
246,Lisu,0,383
247,Loniu,0,75
248,Matsés,0,151
249,Manipuri,0,312
250,Mandinka,0,45
251,Mocoví,0,64
252,Mundurukú,0,108
253,Eastern Low German,0,67
254,Panamint,0,1040
255,Nigerian Pidgin,0,278
256,Texistepec Popoluca,0,25
257,Kazym-Berezover-Suryskarer Khanty,0,54
258,Catalan,0,619
259,Croatian Standard,0,92
260,Czech,0,468
261,Galician,0,1107
262,Kabiyé,0,191
263,Mono (Democratic Republic of Congo),0,413
264,Indonesian,0,556
265,Italian,0,530
266,Salasaca Highland Quichua,0,2483
267,Seri,0,188
268,Sindhi,0,20
269,Slovenian,0,1195
270,Swedish,0,27
271,Tukang Besi North,0,137
272,Yine,0,355
273,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
274,Sipacapense,0,2186
275,Chimborazo Highland Quichua,0,3888
276,Tlachichilco Tepehua,0,323
277,Ambulas,0,101
278,Abau,0,51
279,Qimant,0,1205
280,Akha,0,1109
281,Alyawarr,0,240
282,Amanab,0,412
283,Anuak,0,432
284,Arandai,0,20
285,Bumbita Arapesh,0,204
286,Au,0,356
287,Tinputz,0,181
288,Petats,0,122
289,Patep,0,1111
290,Kela (Papua New Guinea),0,27
291,Sursurunga,0,813
292,Awara,0,1281
293,Awing,0,1972
294,Awtuw,0,241
295,Baba,0,1527
296,Babanki,0,1731
297,Bakoko,0,26
298,Nyong,0,1179
299,Bamunka,0,1171
300,Bangolan,0,1207
301,Batanga,0,46
302,Bariai,0,237
303,Befang,0,573
304,Ida'an,0,64
305,Bemba (Zambia),0,1257
306,Berbice Creole Dutch,0,25
307,Betta Kurumba,0,1042
308,Biak,0,187
309,Bilinarra,0,254
310,Binandere,0,35
311,Southern Bobo Madaré,0,321
312,Bole,0,450
313,Bongo,0,504
314,Boro (Ethiopia),0,840
315,Brokskat,0,3231
316,Baga Sitemu,0,3
317,Bubia,0,166
318,Bukusu,0,1631
319,Subiya,0,933
320,Totela,0,1063
321,Bambalang,0,1150
322,North Marquesan,0,333
323,Önge,0,159
324,Oluta Popoluca,0,62
325,Northern Gyalrong,0,4592
326,Tirma-Chai,0,1104
327,Bilua,0,176
328,Hoava,0,254
329,Filipino,0,46
330,Ngad'a,0,1186
331,Muna,0,76
332,Kéo,0,382
333,Mekens,0,156
334,Tiwi,0,74
335,Torwali,0,4139
336,Thulung,0,2514
337,Tshangla,0,1920
338,Tsafiki,0,440
339,Pwo Northern Karen,0,1113
340,Tuvinian,0,613
341,Kinnauri,0,4637
342,Mewati,0,210
343,Aneityum,0,557
344,Zaiwa,0,1978
345,Chickasaw,0,266
346,Friulian,0,194
347,Ega,0,109
348,Adamawa Fulfulde,0,370
349,Western Arrarnta,0,621
350,Sanumá,0,121
351,Wari',0,153
352,Crow,0,1014
353,Lyélé,0,275
